2019-05-08 10:53:23.376 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [xyh.lixue.LixueApplicationTests], using SpringBootContextLoader
2019-05-08 10:53:23.390 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [xyh.lixue.LixueApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-05-08 10:53:23.391 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [xyh.lixue.LixueApplicationTests]: LixueApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-05-08 10:53:23.639 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration xyh.LixueApplication for test class xyh.lixue.LixueApplicationTests
2019-05-08 10:53:23.998 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-05-08 10:53:24.036 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@57af006c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6bedbc4d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@932bc4a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@d29f28, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2fd1433e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@29d89d5d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3514a4c0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@212b5695, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@446293d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@69997e9d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@793be5ca, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2df9b86]
2019-05-08 10:53:24.055 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [xyh.lixue.knowledgeFramework.service.impl.KnowledgeFrameworkServiceImplTest], using SpringBootContextLoader
2019-05-08 10:53:24.057 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [xyh.lixue.knowledgeFramework.service.impl.KnowledgeFrameworkServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-05-08 10:53:24.058 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [xyh.lixue.knowledgeFramework.service.impl.KnowledgeFrameworkServiceImplTest]: KnowledgeFrameworkServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-05-08 10:53:24.100 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration xyh.LixueApplication for test class xyh.lixue.knowledgeFramework.service.impl.KnowledgeFrameworkServiceImplTest
2019-05-08 10:53:24.114 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
